_time,_value,_field,location
2023-04-25T01:35:00Z,30.15,humidity,bed
2023-04-25T01:40:00Z,30.715,humidity,bed
2023-04-25T01:45:00Z,31.21,humidity,bed
2023-04-25T01:50:00Z,31.39444444,humidity,bed
2023-04-25T01:55:00Z,31.375,humidity,bed
2023-04-25T02:00:00Z,31.505,humidity,bed
2023-04-25T02:05:00Z,31.585,humidity,bed
2023-04-25T02:10:00Z,31.60526316,humidity,bed
2023-04-25T02:15:00Z,31.7,humidity,bed
2023-04-25T02:20:00Z,31.61,humidity,bed
2023-04-25T02:25:00Z,31.6,humidity,bed
2023-04-25T02:30:00Z,31.61666667,humidity,bed
2023-04-25T02:35:00Z,31.8875,humidity,bed
2023-04-25T02:40:00Z,31.96,humidity,bed
2023-04-25T02:45:00Z,31.975,humidity,bed
2023-04-25T02:50:00Z,32.16666667,humidity,bed
2023-04-25T02:55:00Z,32.12424242,humidity,bed
2023-04-25T03:00:00Z,32.395,humidity,bed
2023-04-25T03:05:00Z,32.47,humidity,bed
2023-04-25T03:10:00Z,32.46666667,humidity,bed
2023-04-25T03:15:00Z,32.40625,humidity,bed
2023-04-25T03:20:00Z,32.39,humidity,bed
2023-04-25T03:25:00Z,32.5,humidity,bed
2023-04-25T03:30:00Z,32.60555556,humidity,bed
2023-04-25T03:35:00Z,32.5375,humidity,bed
2023-04-25T03:40:00Z,32.77,humidity,bed
2023-04-25T03:45:00Z,32.77,humidity,bed
2023-04-25T03:50:00Z,32.65555556,humidity,bed
2023-04-25T03:55:00Z,32.57058824,humidity,bed
2023-04-25T04:00:00Z,32.525,humidity,bed
2023-04-25T04:05:00Z,32.465,humidity,bed
2023-04-25T04:10:00Z,32.40588235,humidity,bed
2023-04-25T04:15:00Z,32.27777778,humidity,bed
2023-04-25T04:20:00Z,32.395,humidity,bed
2023-04-25T04:25:00Z,32.395,humidity,bed
2023-04-25T04:30:00Z,32.33888889,humidity,bed
2023-04-25T04:35:00Z,32.21111111,humidity,bed
2023-04-25T04:40:00Z,32.34,humidity,bed
2023-04-25T04:45:00Z,32.41,humidity,bed
2023-04-25T04:50:00Z,32.34375,humidity,bed
2023-04-25T04:55:00Z,31.73529412,humidity,bed
2023-04-25T05:00:00Z,31.43,humidity,bed
2023-04-25T05:05:00Z,31.305,humidity,bed
2023-04-25T05:10:00Z,31.17222222,humidity,bed
2023-04-25T05:15:00Z,30.89444444,humidity,bed
2023-04-25T05:20:00Z,30.61,humidity,bed
2023-04-25T05:25:00Z,30.495,humidity,bed
2023-04-25T05:30:00Z,30.1,humidity,bed
2023-04-25T05:35:00Z,30.14117647,humidity,bed
2023-04-25T05:40:00Z,30.525,humidity,bed
2023-04-25T05:45:00Z,30.915,humidity,bed
2023-04-25T05:50:00Z,31.28333333,humidity,bed
2023-04-25T05:55:00Z,31.60588235,humidity,bed
2023-04-25T06:00:00Z,31.56,humidity,bed
2023-04-25T06:05:00Z,31.6,humidity,bed
2023-04-25T06:10:00Z,31.65882353,humidity,bed
2023-04-25T06:15:00Z,31.61666667,humidity,bed
2023-04-25T06:20:00Z,31.685,humidity,bed
2023-04-25T06:25:00Z,31.65,humidity,bed
2023-04-25T06:30:00Z,31.64117647,humidity,bed
2023-04-25T06:35:00Z,31.68888889,humidity,bed
2023-04-25T06:40:00Z,31.72307692,humidity,bed
2023-04-25T06:45:00Z,31.7,humidity,bed
2023-04-25T06:50:00Z,31.68333333,humidity,bed
2023-04-25T06:55:00Z,31.58823529,humidity,bed
2023-04-25T07:00:00Z,31.565,humidity,bed
2023-04-25T07:05:00Z,31.55,humidity,bed
2023-04-25T07:10:00Z,31.58333333,humidity,bed
2023-04-25T07:15:00Z,31.57222222,humidity,bed
2023-04-25T07:20:00Z,31.48,humidity,bed
2023-04-25T07:25:00Z,31.45,humidity,bed
2023-04-25T07:30:00Z,31.49411765,humidity,bed
2023-04-25T07:35:00Z,31.34705882,humidity,bed
2023-04-25T07:40:00Z,31.565,humidity,bed
2023-04-25T07:45:00Z,31.64,humidity,bed
2023-04-25T07:50:00Z,31.68888889,humidity,bed
2023-04-25T07:55:00Z,31.71764706,humidity,bed
2023-04-25T08:00:00Z,31.66,humidity,bed
2023-04-25T08:05:00Z,31.72,humidity,bed
2023-04-25T08:10:00Z,31.66470588,humidity,bed
2023-04-25T08:15:00Z,31.56666667,humidity,bed
2023-04-25T08:20:00Z,31.58,humidity,bed
2023-04-25T08:25:00Z,31.38,humidity,bed
2023-04-25T08:30:00Z,31.02352941,humidity,bed
2023-04-25T08:35:00Z,30.43888889,humidity,bed
2023-04-25T08:40:00Z,30.205,humidity,bed
2023-04-25T08:45:00Z,30.18,humidity,bed
2023-04-25T08:50:00Z,30.3,humidity,bed
2023-04-25T08:55:00Z,29.96111111,humidity,bed
2023-04-25T09:00:00Z,29.265,humidity,bed
2023-04-25T09:05:00Z,29.51,humidity,bed
2023-04-25T09:10:00Z,29.92352941,humidity,bed
2023-04-25T09:15:00Z,30.06111111,humidity,bed
2023-04-25T09:20:00Z,30.425,humidity,bed
2023-04-25T09:25:00Z,30.56,humidity,bed
2023-04-25T09:30:00Z,30.70588235,humidity,bed
2023-04-25T09:35:00Z,30.71578947,humidity,bed
2023-04-25T09:40:00Z,30.685,humidity,bed
2023-04-25T09:45:00Z,30.67,humidity,bed
2023-04-25T09:50:00Z,30.70588235,humidity,bed
2023-04-25T09:55:00Z,30.49411765,humidity,bed
2023-04-25T10:00:00Z,30.465,humidity,bed
2023-04-25T10:05:00Z,30.435,humidity,bed
2023-04-25T10:10:00Z,30.25882353,humidity,bed
2023-04-25T10:15:00Z,30.21111111,humidity,bed
2023-04-25T10:20:00Z,30.425,humidity,bed
2023-04-25T10:25:00Z,30.435,humidity,bed
2023-04-25T10:30:00Z,30.38235294,humidity,bed
2023-04-25T10:35:00Z,30.48421053,humidity,bed
2023-04-25T10:40:00Z,30.31,humidity,bed
2023-04-25T10:45:00Z,30.44,humidity,bed
